1|GER|1189|2008
2|USA|3011|1978
3|UK|4387|2007
4|JPN|2949|2018
5|ITA|1139|2018
6|FRA|4267|1982
7|CHN|4445|1993
8|Other|1488|2013
9|Abadal|3606|1972
10|Abarth|3895|2014
11|Abbott-Detroit|1823|1997
12|ABT|4181|2009
13|AC Cars|1538|2010
14|Acura|1447|2016
15|Aixam|3392|2017
16|Alfa Romeo|2845|1980
17|Alpina|4492|2012
18|Alpine|3865|1995
19|Alta|2693|1976
20|Alvis|1733|2008
21|AMC|2778|2018
22|/////AMG|3237|1991
23|Apollo|2492|1974
24|Arash|4253|1980
25|Ariel|1188|1981
26|ARO|4117|2013
27|Arrinera|1782|2002
28|Artega|1663|2018
29|Ascari|4486|1994
30|Askam|3308|1979
31|Aston Martin|4064|1976
32|Atalanta|3535|2000
33|Auburn|1421|1994
34|Audi|2610|1980
35|Austin|4423|2005
36|Autobacs|4186|1989
37|Autobianchi|4340|2002
38|Axon|1260|1984
39|BAC|1583|1986
40|Baojun|1738|1993
41|BAIC Motor|2707|1977
42|Bentley|1360|2005
43|Berkeley|4113|1988
44|Berliet|4005|1975
45|Bertone|1324|1996
46|BharatBenz|1839|1982
47|Bitter|3690|2012
48|Bizzarrini|3887|1996
49|BMW|3238|1988
50|Borgward|2884|1999
51|Bowler|4308|2002
52|Brabus|3607|2004
53|Brammo|2943|2017
54|Brilliance|1374|2010
55|Bristol|1141|2003
56|Brooke|1611|1975
57|Bufori|1353|1995
58|Bugatti|2246|1975
59|Buick|2847|2000
60|BYD|4245|2003
61|Cadillac|2918|1975
62|Carlsson|2062|1980
63|Caparo|4238|2017
64|Caterham|3852|1973
65|Changan|3613|1985
66|Changfeng|1011|2002
67|Chery|2623|2017
68|Chevrolet|1381|2004
69|Chrysler|4108|2012
70|Cisitalia|1978|2013
71|Citroën|2055|1979
72|Cizeta|1818|1996
73|Cole|1862|2009
74|Corre La Licorne|1050|1973
75|Corvette|2475|2001
76|Dacia|4469|2017
77|Daewoo|1259|1972
78|DAF|1628|2003
79|Daihatsu|2841|1999
80|Daimler|1623|1979
81|Dartz|3793|2005
82|Datsun|4088|1981
83|David Brown|4414|2002
84|Delage|4092|2010
85|DMC|4407|1992
86|De Tomaso|1673|1993
87|Detroit Electric|3914|1988
88|Devel Sixteen|1974|2003
89|Diatto|1887|1974
90|DINA|2760|2008
91|DKW|2445|1999
92|Dodge|3613|1986
93|Dongfeng|3057|1998
94|Donkervoort|4184|1991
95|DS|2233|2014
96|Eagle|3859|1999
97|EDAG|3274|1999
98|Edsel|4332|1993
99|Eicher|4324|1994
100|Elemental|4265|1994
101|Elfin|3678|1986
102|Elva|2010|2008
103|Englon|4450|2006
104|ERF|3997|2015
105|Eterniti|1264|2005
106|9ff|3974|1976
107|Facel Vega|3014|1982
108|Faraday Future|3701|1991
109|FAW|3313|1986
110|Ferrari|2558|1980
111|Fiat|4010|1990
112|Fioravanti|3876|1998
113|Fisker|4185|1971
114|Foden|2510|1985
115|Force Motors|2952|2008
116|Ford|2205|1985
117|Foton|3710|1987
118|FPV|2079|1971
119|Franklin|1666|1998
120|Freightliner|3349|1989
121|GAC Group|2535|1981
122|Gardner Douglas|1865|2018
123|GAZ|4118|1971
124|Geely|1540|1978
125|General Motors|3985|1995
126|Genesis|2952|1985
127|Geo|2243|1993
128|Gilbern|3364|1995
129|Gillet|1342|1990
130|Ginetta|4320|1982
131|GMC|2620|1972
132|Gonow|3478|1989
133|Great Wall|4197|1982
134|Grinnall|2490|2007
135|GTA Motor|1862|2009
136|GT-R|1718|1978
137|Gumpert|2679|1994
138|Hafei|4415|2001
139|Haima|1671|1971
140|Haval|3669|1986
141|Hawtai|1330|1999
142|Hennessey|4130|1979
143|Hillman|2830|1988
144|Hindustan Motors|3420|1992
145|Hino|2304|1994
146|Hispano-Suiza|2753|1976
147|HSV|2892|1989
148|Holden|3468|2003
149|Hommell|1803|2015
150|Honda|1050|2006
151|Horch|3172|2005
152|Hudson|1988|1998
153|Hummer|2670|1995
154|Hupmobile|3274|1986
155|Hyundai|3413|1978
156|IC Bus|2552|2014
157|Infiniti|1686|1972
158|Innocenti|3039|1997
159|Intermeccanica|2232|1990
160|IH|1816|1982
161|International|1954|2010
162|IKCO|3346|2009
163|Irizar|1621|2004
164|Isdera|2574|1990
165|Iso Rivolta|3754|1992
166|Isuzu|1396|1989
167|Iveco|3081|1972
168|JAC Motors|2561|2014
169|Jaguar|2732|1984
170|Jawa|2029|1995
171|JBA Motors|1258|1998
172|Jeep|4080|1996
173|Jensen|2627|2004
174|JMC|4078|1988
175|Kaiser|4287|2014
176|Kamaz|2745|2016
177|Karma|3491|2007
178|Keating|1865|1984
179|Kenworth|1788|2004
180|KIA|4463|1982
181|Koenigsegg|2480|1976
182|KTM|2580|1980
183|Lada|1114|1997
184|Lagonda|2071|1984
185|Lamborghini|4407|1993
186|Lancia|1651|1991
187|Land Rover|4268|1983
188|Landwind|4268|1995
189|Laraki|3234|2005
190|LEVC|2463|2007
191|Lexus|1172|1989
192|Leyland|1761|2002
193|Lifan|3662|1998
194|Ligier|4339|1998
195|Lincoln|4099|2016
196|Lister|3428|1979
197|Lloyd|2521|1974
198|Lobini|2535|2006
